scheme,scheme_id,round,mean_accuracy,std_accuracy,mean_loss,std_loss
ML-DSA-44,ML-DSA-44,17,0.7216,0.007283009146103141,0.8649239369487762,0.013355673410481233
ML-DSA-44,ML-DSA-44,18,0.7222799999999999,0.005908524914618428,0.8833808926486968,0.011510458166995217
ML-DSA-44,ML-DSA-44,19,0.72136,0.005209009289469315,0.9057413576698303,0.01941517060105673
ML-DSA-44,ML-DSA-44,20,0.72095,0.007036768513395273,0.9282074690389633,0.028297800268956536
ML-DSA-44,ML-DSA-44,21,0.72035,0.008378975010239762,0.9526375492286683,0.01924459295738446
ML-DSA-44,ML-DSA-44,22,0.72179,0.005997304950281149,0.9867496689701081,0.023624347472190287
ML-DSA-44,ML-DSA-44,23,0.72195,0.005204111622340348,1.017671972332001,0.023814309807359955
ML-DSA-44,ML-DSA-44,24,0.72038,0.006622151379188546,1.0430342648267747,0.022084030068787303
ML-DSA-44,ML-DSA-44,25,0.71983,0.005168934985941401,1.0857113952064514,0.030966289304142223
ML-DSA-44,ML-DSA-44,26,0.72245,0.004929559367281757,1.1161937384796143,0.02989477946911557
ML-DSA-44,ML-DSA-44,27,0.72175,0.006592293480522034,1.1494533204841613,0.03106314558188543
ML-DSA-44,ML-DSA-44,28,0.72142,0.004800416648583732,1.1932538207530974,0.03180715409630576
ML-DSA-44,ML-DSA-44,29,0.72077,0.005084628250368413,1.246570857410431,0.036341420629296996
ML-DSA-44,ML-DSA-44,30,0.72133,0.00652534375424862,1.2633761355400086,0.03371002006478629
ML-DSA-65,ML-DSA-65,0,0.10103,0.006084780649748645,2.30310250667572,0.0007815340706910088
ML-DSA-65,ML-DSA-65,1,0.17355,0.03637722883587723,2.1939480812072754,0.0629996174649522
ML-DSA-65,ML-DSA-65,2,0.45580999999999994,0.020016351648922768,1.5378983028793336,0.03619427732951554
ML-DSA-65,ML-DSA-65,3,0.54975,0.015883831751536258,1.2869823618888856,0.03392091294884843
ML-DSA-65,ML-DSA-65,4,0.59934,0.01167829896289124,1.1529381581115723,0.02480796082084244
ML-DSA-65,ML-DSA-65,5,0.63498,0.013033444159801608,1.057053564853668,0.02841165490381315
ML-DSA-65,ML-DSA-65,6,0.65886,0.010790860330236277,0.9877833730220795,0.02616890276065824
ML-DSA-65,ML-DSA-65,7,0.67859,0.007885915715163751,0.9343248674964905,0.020934970200699086
ML-DSA-65,ML-DSA-65,8,0.69177,0.005510001008267745,0.8983953020095825,0.015556028313882149
ML-DSA-65,ML-DSA-65,9,0.69982,0.006044611925784233,0.8760594165229797,0.017747959215732214
ML-DSA-65,ML-DSA-65,10,0.70812,0.0053890423804028404,0.855488201971054,0.016823706003544377
ML-DSA-65,ML-DSA-65,11,0.71194,0.006824009899693201,0.8456518688583374,0.01724661276949806
ML-DSA-65,ML-DSA-65,12,0.7167600000000001,0.005770076063430893,0.8346850592899322,0.018784504579814457
ML-DSA-65,ML-DSA-65,13,0.71853,0.006794123277591562,0.8356181147480012,0.021863667722261355
ML-DSA-65,ML-DSA-65,14,0.7198399999999999,0.006069632974442891,0.8370138865852356,0.018043506472363628
ML-DSA-65,ML-DSA-65,15,0.72119,0.005511896225438231,0.842216841468811,0.014618556394077692
ML-DSA-65,ML-DSA-65,16,0.71993,0.0066751695775380026,0.854727793750763,0.016558122733650826
ML-DSA-65,ML-DSA-65,17,0.7216400000000001,0.005237726393940178,0.8658702432918549,0.01639882783702117
ML-DSA-65,ML-DSA-65,18,0.7184600000000001,0.006704923564068433,0.885061775856018,0.01644636955381575
ML-DSA-65,ML-DSA-65,19,0.7189099999999999,0.006038110447629896,0.9012059468269349,0.015513628188372337
ML-DSA-65,ML-DSA-65,20,0.72098,0.006104424624811092,0.9250571224212647,0.014260483826972176
ML-DSA-65,ML-DSA-65,21,0.72078,0.006879082626177553,0.9518562355279923,0.01367361066970366
ML-DSA-65,ML-DSA-65,22,0.7218899999999999,0.004855111853614813,0.9788858000373839,0.009424081623093088
ML-DSA-65,ML-DSA-65,23,0.72202,0.005861891996427235,1.0085762099933624,0.015612853410829084
ML-DSA-65,ML-DSA-65,24,0.7211299999999999,0.006091898080419794,1.0392670842933653,0.015047563489793355
ML-DSA-65,ML-DSA-65,25,0.72219,0.005673613389092396,1.0767506509685516,0.02284407537289466
