scheme,scheme_id,run,keygen_time_ms,client_serialize_time_ms,sign_time_ms,server_serialize_time_ms,verify_time_ms,server_verify_total_time_ms,train_time_s,train_loss
ML-DSA-87,ML-DSA-87,2,0.31016051963277064,1.961375391886835,7.756895573111203,1.22902426519426,6.335429504979354,6.3911278398396645,19.641744704199567,0.7279756551670332
ML-DSA-87,ML-DSA-87,3,0.31947344929595867,2.031245903732828,7.801414267548001,1.1461713653988648,6.316137890874669,6.37146331408677,19.707957737342223,0.6969134560244801
ML-DSA-87,ML-DSA-87,4,0.30784822806400197,2.0015067653730014,7.715293500029124,1.1511933004172672,6.51440732258677,6.571916220709634,19.52727959443582,0.727625801701
ML-DSA-87,ML-DSA-87,5,0.31894797226409066,2.0236159504080327,7.681986413663204,1.1490823864005046,6.5226733319771295,6.579557280444183,19.463381896904515,0.7301745651956079
ML-DSA-87,ML-DSA-87,6,0.30862990611537733,1.9496227040265486,7.831597697610607,1.1619764131803845,6.382876077356388,6.439881043042937,19.732688555899077,0.7253767093882811
ML-DSA-87,ML-DSA-87,7,0.3108868887647487,1.961673436065466,7.854480141928995,1.1890704208053133,6.388885909691403,6.4471914285482965,19.829793966540603,0.7272893947411747
ML-DSA-87,ML-DSA-87,8,0.3091124414155353,1.9375231000594264,7.77143458602945,1.1384490861867347,6.319528390498162,6.378152629670945,19.481132916257096,0.724955745510813
ML-DSA-87,ML-DSA-87,9,0.3126863692886653,1.9751115748658232,7.603777352099568,1.1721024305248733,6.421130544040301,6.476866629285063,19.463598737814465,0.7230262672337017
ML-DSA-87,ML-DSA-87,10,0.32705132306238,2.0402096933684732,7.757563577809633,1.1625243475039286,6.312987365138982,6.3703007126847435,19.640562248115117,0.7241734436358532
Falcon-padded-512,Falcon-padded-512,1,8.998334193602153,1.9683427317067461,7.924176783999379,1.165795610286244,6.283942132722531,6.341595367218009,19.63508190858605,0.6909676460372517
Falcon-padded-512,Falcon-padded-512,2,8.403023426265717,1.9771241458753246,7.84751001202186,1.166509704198634,6.388685186393513,6.4462617249227545,19.753041212550208,0.7267742373461746
Falcon-padded-512,Falcon-padded-512,3,9.016021133478061,2.1302998516087253,7.871532440185496,1.131337483335857,6.240718251792665,6.295760018595757,19.52997137389922,0.6952888719265893
Falcon-padded-512,Falcon-padded-512,4,8.95557732010876,2.0851249760016275,8.044250054517711,1.1209229465263089,6.292444037971971,6.347040698941124,19.624759354053143,0.7264637340849917
Falcon-padded-512,Falcon-padded-512,5,8.853756641037714,2.0087961968965287,7.849469787130702,1.153052893932866,6.255661077642141,6.309292248527778,19.772387790132004,0.7271104968100026
Falcon-padded-512,Falcon-padded-512,6,8.850019794578301,2.06356565235178,7.687087404386403,1.1537231807596486,6.268736391017788,6.325150529543514,19.8810737057946,0.7242692293453746
Falcon-padded-512,Falcon-padded-512,7,8.66813588033736,1.9882628220753866,7.701968393909382,1.1695958309185512,6.296900752155676,6.355158299362858,19.637392431899595,0.7328734057963874
Falcon-padded-512,Falcon-padded-512,8,8.93049760799229,1.9843646232038243,7.8877844149246314,1.1925244781498647,6.556064711573174,6.613704983610607,19.626691875706115,0.7213231526270555
Falcon-padded-512,Falcon-padded-512,9,8.479045880958385,1.94659160993367,7.678568885506394,1.200695170555214,6.385948857447706,6.441274414149379,19.686226050852177,0.7214884170627913
Falcon-padded-512,Falcon-padded-512,10,9.027977000611475,1.9797166607652605,7.868309981034399,1.1558243539183848,6.265335646457926,6.322462873067659,19.621362213115983,0.7273879816341864
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,1,105.44200835400258,1.750861660111644,671.6869774208559,1.174173742377458,10.852775623400959,10.910265132551965,19.73166403706496,0.6872831417215866
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,2,104.50609386122471,1.7506729248755448,652.0459261214517,1.1476124275940907,10.84878275985825,10.908687600167418,19.797405899188014,0.727414854669515
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,3,108.15255649271415,1.7373511129213617,669.119601022685,1.1784300495249034,10.872975280508351,10.931894017461019,19.731930025067026,0.6932463696138936
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,4,107.63032114792921,1.7197901414085948,666.6037521332813,1.1576872423756366,11.007509678602169,11.068328099014805,19.579071299193505,0.7333300339051396
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,5,107.73469730707191,1.8406174246531748,684.377716917467,1.1323888153613353,10.825894507579457,10.885302828391966,19.527077399500413,0.7293997344991149
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,6,104.36269673441222,1.7122888402081526,652.5747255344565,1.14188548565527,11.040977810819893,11.098745921626639,19.44737606072876,0.7269568891786247
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,7,104.76321082717425,1.7880507993200883,662.2423880260128,1.1475527845322573,11.070667355476523,11.126581872037253,19.652012662792114,0.7256777078418346
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,8,108.51891236767788,1.7586150998249153,672.7786055215014,1.179286881815594,10.916469206567804,10.9748917818069,19.681839909133657,0.7247267765616224
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,9,110.40460465475913,1.7182177398353344,665.3724356143115,1.1684396762089952,10.864343872914658,10.922915944829535,19.58278448364387,0.7200258674820552
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,10,101.22246877523135,1.7546150453077767,661.6731580308017,1.1793951278862336,10.865945317782415,10.925766337507666,19.775542141574746,0.7334011495765621
