scheme,round,accuracy_mean,accuracy_std
RSA-2048,8,0.69478,0.01140052630364055
RSA-2048,9,0.7035199999999999,0.01015022167245619
RSA-2048,10,0.7105,0.007484316936100478
RSA-2048,11,0.71668,0.010250707292670093
RSA-2048,12,0.71918,0.009198206346891728
RSA-2048,13,0.7206400000000001,0.0060953260782340216
RSA-2048,14,0.723,0.008299096336348875
RSA-2048,15,0.7222799999999999,0.008089313938771334
RSA-2048,16,0.72298,0.009007330348110895
RSA-2048,17,0.72236,0.005555897767237975
RSA-2048,18,0.7236,0.0068545605256646715
RSA-2048,19,0.7196,0.006427674540609606
RSA-2048,20,0.72258,0.006386470073522636
RSA-2048,21,0.72244,0.006004415042283485
RSA-2048,22,0.72268,0.008279915458505628
RSA-2048,23,0.7214799999999999,0.005777715811633509
RSA-2048,24,0.71918,0.009362798726876518
RSA-2048,25,0.72262,0.0061981448837534776
RSA-2048,26,0.72034,0.0058709454093867856
RSA-2048,27,0.7202,0.00687277236637442
RSA-2048,28,0.72036,0.008086593844134815
RSA-2048,29,0.72242,0.007106475919891726
RSA-2048,30,0.7247399999999999,0.008484279580494705
SPHINCS+-SHA2-128s-simple,0,0.10148000000000001,0.008546753769706952
SPHINCS+-SHA2-128s-simple,1,0.1679,0.031052375110448484
SPHINCS+-SHA2-128s-simple,2,0.46306,0.021202782836222216
SPHINCS+-SHA2-128s-simple,3,0.5591,0.021694123628300817
SPHINCS+-SHA2-128s-simple,4,0.60622,0.01779022203346547
SPHINCS+-SHA2-128s-simple,5,0.63792,0.015305456543337731
SPHINCS+-SHA2-128s-simple,6,0.66152,0.016001624917488876
SPHINCS+-SHA2-128s-simple,7,0.68392,0.013763429805103061
SPHINCS+-SHA2-128s-simple,8,0.69356,0.00828208910843154
SPHINCS+-SHA2-128s-simple,9,0.70206,0.008316429522337078
SPHINCS+-SHA2-128s-simple,10,0.7096,0.006905070600652816
SPHINCS+-SHA2-128s-simple,11,0.7160599999999999,0.00448363691661134
SPHINCS+-SHA2-128s-simple,12,0.7187,0.0031040296390337273
SPHINCS+-SHA2-128s-simple,13,0.72004,0.0028535942248329622
SPHINCS+-SHA2-128s-simple,14,0.72192,0.004151746620399648
SPHINCS+-SHA2-128s-simple,15,0.72386,0.0068064675125941825
SPHINCS+-SHA2-128s-simple,16,0.72288,0.008441978441100104
SPHINCS+-SHA2-128s-simple,17,0.72466,0.003761382724477748
SPHINCS+-SHA2-128s-simple,18,0.7242,0.005299056519796772
SPHINCS+-SHA2-128s-simple,19,0.72522,0.004281588490268533
SPHINCS+-SHA2-128s-simple,20,0.7237,0.005342752099807712
SPHINCS+-SHA2-128s-simple,21,0.72414,0.005588649210676935
SPHINCS+-SHA2-128s-simple,22,0.7229,0.006912307863514189
SPHINCS+-SHA2-128s-simple,23,0.72234,0.005393329213018614
SPHINCS+-SHA2-128s-simple,24,0.72332,0.0038661350209220425
SPHINCS+-SHA2-128s-simple,25,0.72574,0.005042122568918795
SPHINCS+-SHA2-128s-simple,26,0.72294,0.007790250316902523
SPHINCS+-SHA2-128s-simple,27,0.72138,0.005146552243978491
SPHINCS+-SHA2-128s-simple,28,0.72226,0.0048977545875635515
SPHINCS+-SHA2-128s-simple,29,0.7207399999999999,0.004496998999332844
SPHINCS+-SHA2-128s-simple,30,0.7228399999999999,0.004542906558581176
no_signature,0,0.10148000000000001,0.008546753769706952
no_signature,1,0.1679,0.031052375110448484
no_signature,2,0.46256,0.028188171278037893
no_signature,3,0.5562199999999999,0.016992998558229805
no_signature,4,0.60384,0.01841149097710452
no_signature,5,0.64042,0.00936146356079006
no_signature,6,0.663,0.011736694594305494
no_signature,7,0.6775800000000001,0.006632269596450374
no_signature,8,0.69332,0.008944104203328604
no_signature,9,0.70354,0.008128530002405128
no_signature,10,0.71162,0.006296586376760012
no_signature,11,0.7132799999999999,0.007726706931157705
no_signature,12,0.71634,0.008171474775094206
no_signature,13,0.71902,0.007058824264705797
no_signature,14,0.71814,0.0042217295034144954
